sentiment,raw text
Negative,"WASHINGTON -- The first significant sign that the economy is cooling emerged when the Labor Department reported that the unemployment rate rose for the first time in more than a year.</br></br>The unemployment rate for January jumped 0.3 percentage point to 5.7%, matching October's level. The Labor Department also reported that employers created only 134,000 jobs last month, about half the pace of previous months and the smallest gain in a year.</br></br>While economists were careful to note that the new data suggest the economy is still growing, many agreed the report seems to indicate the year-long series of interest-rate rises engineered by the Federal Reserve finally have kicked in.</br></br>""It takes about 12 months for the rate hikes to have an effect,"" said Edward Yardeni, an economist at C.J. Lawrence. ""This is the year we'll see it happen.""</br></br>The financial markets rallied on the news as investors speculated that interest rates may soon stop rising. Bond prices rose; the yield on the benchmark 30-year bond fell to 7.62% from 7.74%. And the Dow Jones Industrial Average soared 57.87 to 3928.64."
Positive,"NEW YORK -- Anyone who questions the remarkable relationship that binds the economy and the stock market should ponder briefly the circumstances that immediately preceded the recent surge in share prices. On July 31, the Commerce Department announced that its composite index of leading economic indicators dropped 0.9% in June. And on Aug. 1, the Dow Jones Industrial Average jumped 19.33 points. Further steep increases followed, so that by last week's end the average was 102.81 points above its July 31 level.</br></br>There's no short, simple explanation of the linkage between the economy and stock market. But any serious effort to appraise one's prospects entails close attention to the other. An obvious tie involves profits. If it becomes clear that a company's profits are on the rise, demand for its shares is likely to increase, tending to push up their price. A subtler connection involves interest rates. Securities that offer fixed rates of interest compete for investors' dollars with common stocks, which offer dividends that may rise or fall according to changes in profitability. When interest rates fall, this renders interest-paying securities relatively less attractive. It's no coincidence that in general before the recent market surge profits were sharply on the rise and interest rates on the decline.</br></br>In all, a wide variety of factors can play upon the market. Among them are shifts in investor confidence, concern about rising or falling prices, worry over higher taxes or stiffer governmental regulations, changes in so-called margin requirements that limit what investors may borrow to buy stocks, the flow of money from overseas, major strikes and the failure of a large corporation. But business-cycle history leaves little doubt that the fundamental influence is the broad economic trend.</br></br>The 0.9% drop in the Commerce Department's leading-indicator index in June has been widely interpreted as a signal that the economy, at the least, will grow at a slower pace in coming months. This, in turn, has been seen as a good reason to invest in common stocks, since a slower-paced expansion would presumably last longer and be accompanied by somewhat lower interest rates.</br></br>The record shows, however, that a decline of only a month or two in the leading-indicator index by no means guarantees an economic slowing. In fact, the June drop was the first monthly decline since August 1982. Moreover, it's possible that subsequent revisions in the various components of the Commerce index may eventually turn the decline into an increase. Several times since August 1982 reported monthly declines in the index have indeed been revised into gains."
Negative,"NEW YORK -- Technology issues fell again and consumer names retreated as investors interpreted the Federal Reserve decision to cut interest rates again as a signal that economic trends remain weak.</br></br>A host of telecommunications-gear makers fell during trading. Communications-chip maker Broadcom shed $4.73, or 13%, to $33.06 in Nasdaq Stock Market trading. Optical-equipment maker JDS Uniphase, which hit a 52-week low Monday, fell further, dropping 44 cents, or 5.9%, to 7.07. Cellphone-chip maker RF Micro Devices slid 2.02, or 7.9%, to 23.54. Storage-software developer Brocade Communications retreated 1.60, or 5.9%, to 25.47. All trade on Nasdaq.</br></br>The weakness came after the Federal Reserve voted to lower interest rates to 3.5% from 3.75%, marking the central bank's seventh rate cut this year.</br></br>Market averages, which had moved slightly higher, albeit in thin trading, ahead of the release of the Fed's decision, veered lower. The Nasdaq Composite Index finished down 50.05, or 2.7%, at 1831.30, the lowest the index has finished since April 9. Technical analyst Peter Green of Gerard Klauer Mattison speculated the Nasdaq composite could fall another 4% during the short term, given the recent technical patterns.</br></br>The Dow Jones Industrial Average closed down 145.93 points, a 1.4% drop, at 10174.14, its lowest finish since April 12."
Negative,"The old dragon of inflation -- thought to have been slain -- may be lurking.</br></br>Many economists, including those at the Federal Reserve, aren't worried -- yet. But there have been confusing warning signs in recent weeks. Core inflation, the prices consumers pay for goods and services, excluding food and energy, increased 0.5% in both January and February. Hourly earnings jumped 0.5% in March and are running at a 4% annual rate of increase for the first three months of the year.</br></br>It's a fluke, say Federal Reserve officials, who believe that the economy is too soft to support a round of big price increases. But that view may be rattled tomorrow and Friday, when the Labor Department releases new data on movement on the producer price and consumer price indexes in March. If the numbers show another solid increase in prices, it could incite much more serious worries about inflation.</br></br>Low inflation has been one of the bittersweet benefits of this unusually sluggish recovery. Demand hasn't been strong enough to allow retailers and producers to up the prices of goods. And a weak labor market has kept wages relatively subdued. As a result, consumer prices edged up their smallest amount in six years during 1992.</br></br>But now that the economy is showing signs of firming, some businesses are trying to push through price increases, hoping the market will finally bear it. ""Industry sectors are trying to recoup what they gave up in the depth of the downturn,"" said Mark Steinkrauss, vice president of investor relations for Fruit of the Loom Inc. The company raised prices 5% on a line of T-shirts at the start of the year."
Negative,"SAN JOSE, Calif. -- Firefighter Brian Endicott got an early taste of the pension battle brewing here when a man at the grocery store angrily pointed to the steaks in his cart.</br></br>""Who do you think you are, wasting taxpayers' money on a meal like this?"" the man yelled at 46-year-old Mr. Endicott, who was shopping for dinner with three other firefighters from San Jose Fire Station No. 1.</br></br>After the 2001 terrorist attacks, sympathetic residents of this affluent city gathered at the firehouse to offer flowers, cakes and pies. Today, public sentiment toward the men and women in uniform has widely shifted, as many locals are up in arms over escalating pension costs for public-safety workers.</br></br>In the current fiscal year ending June 30, San Jose's retirement obligations soared to $245 million, up from $73 million a decade ago, according to the city. For police officers and firefighters who have retired since 2007, the average pension is $95,336, making them among the most generously compensated in the state.</br></br>Since the recession, dozens of state legislatures and city councils across the U.S. have scaled back benefits and jobs in an attempt to plug gaping budget holes. Safety workers like police and firefighters -- who generally earn more than librarians and garbage haulers -- have often been spared from some of the most drastic cuts."
Positive,"NEW YORK -- Microsoft's strong profit stirred enthusiasm for technology stocks.</br></br>Microsoft (Nasdaq) jumped 5 15/16 to 92 1/4 after the software company issued fiscal first-quarter earnings late Tuesday that topped analysts' forecasts. Salomon Smith Barney, praising what it called a ""pristine"" profit statement, bumped up its fiscal 2000 profit estimate for the company.</br></br>""They played off those Microsoft numbers from the opening bell, and we've seen some good follow-through in the technology sector,"" said John Manahan, head of trading at Brown Brothers Harriman.</br></br>Gateway rose 5 1/8 to 52, Hewlett-Packard gained 2 13/16 to 76 9/16, and Apple Computer climbed 6 5/8 to 75 1/8 on the Nasdaq Stock Market. Even Dell Computer moved higher, gaining 1 1/2 to 40 on Nasdaq. Dell had stirred some profit worries for the technology sector when it warned earlier this week its results would be hurt by rising prices for memory products.</br></br>Strong profit performances from other technology issues contributed to the optimism evident in the session. Computer Associates gained 3 3/4 to 58 1/4 after its fiscal second-quarter profit, released late Tuesday, proved a penny a share better than analysts anticipated."
Negative,"WASHINGTON -- The Senate Finance Committee approved legislation to extend until next March emergency unemployment benefits that otherwise shut down July 4.</br></br>Workers who have exhausted normal state unemployment benefits would be eligible for either 26 or 33 weeks of additional emergency benefits under the plan, depending upon the unemployment rate in their state. The number of weeks could be reduced, however, if the national unemployment rate, currently 7.5%, drops below 7% for two consecutive months.</br></br>The finance panel's plan is far closer to administration proposals than the version passed Tuesday by House Democrats. The House bill would offer up to 26 weeks of emergency jobless benefits. Both jobless packages, however, face administrative opposition.</br></br>The $5.4 billion cost of the legislation approved yesterday would be covered by eight tax-raising measures. One provision would require securities dealers to pay taxes on the year-end market value of their portfolios, rather than on the value at purchase. Another provision would bar new owners of failed thrifts from deducting losses for which the federal government has compensated them since March 4, 1991, a practice known as double-dipping.</br></br>Both of these tax provisions were part of President Bush's budget proposal this year. Another measure would require large corporations to pay their quarterly taxes based on 96% of their estimated yearly income, up from 95%."
Positive,"GREENSPAN GAVE NO HINT that an increase in interest rates is imminent, buoying the financial markets. In congressional testimony, the Federal Reserve chairman hailed the current state of the economy as ""exceptional"" and welcomed the recent slowing of economic growth.</br></br>Stocks soared in reaction to the remarks, with the Dow Jones industrials climbing 154.93 points to 8061.65. Bond prices took off as well, with the yield on the Treasury's bellwether bond falling to its lowest point since early December. The dollar finished mixed.</br></br>---</br></br>Boeing is close to winning European approval for its $14 billion acquisition of McDonnell Douglas after offering four key concessions. An agreement is viewed as likely to be announced today, averting a major trans-Atlantic trade conflict.</br></br>---"
Negative,"NEW YORK -- A flurry of weak economic data helped to end a three-day stock market rally that had taken its cue from sharply lower interest rates.</br></br>Nearly every sector came under pressure as a series of economic reports reignited worries that the economy continues to falter. The reports showed a decrease in new home sales last month, a downturn in consumer confidence, and a drop in the index of May's leading economic indicators. Economists had expected higher readings for all of the figures.</br></br>The Dow Jones Industrial Average managed to make a slight comeback near the close, which traders attributed to endof-the-quarter mark ups. The industrials fell 11.35 points, or 0.32%, to 3518.85, after sliding about 24 points to their lowest levels of the day in late trading.</br></br>Retreating Big Board stocks edged out advancers, 979 to 970, on hefty volume of 272,987,540, up from the 240,434,910 shares that changed hands Monday.</br></br>""The economic numbers have been showing sluggish growth, and that's a concern,"" said David Butler, head of equity trading at Kemper Financial Services. ""But lower interest rates are still a factor, which basically means there's no place else to go except for equities."""
Negative,"A week of troubling economic data helped push fixed mortgage interest rates to a new low for the year, representing the seventh consecutive weekly decline, according to the latest survey from Freddie Mac.</br></br>Surveys of national consumer confidence and manufacturing activity in the past month have suggested the economy may be slowing, said Freddie Mac Chief Economist Frank Nothaft. The S&P Case-Shiller National Home Price Index, meanwhile, showed first-quarter home prices fell by the steepest annual rate since the third quarter of 2009.</br></br>""Fixed mortgage rates followed U.S. Treasury yields lower this week amid financial market concerns that the current lull in the economy is continuing,"" Mr. Nothaft said.</br></br>The 30-year fixed-rate mortgage averaged 4.55% in the week ended Thursday, down from 4.60% the prior week and 4.79% a year earlier. Rates on 15-year fixed-rate mortgages fell to 3.74% from 3.78% the previous week and 4.20% a year earlier.</br></br>Five-year Treasury-indexed hybrid adjustable-rate mortgages held steady from last week at 3.41%, but are down from 3.94% a year earlier. One-year Treasury-indexed ARM rates rose to 3.13% from 3.11% the prior week but are down from 3.95% a year earlier."
Positive,"With oil prices easing and the uncertainties of the election past, U.S. consumers show early signs of becoming more confident about the economic outlook.</br></br>The University of Michigan's consumer-sentiment index -- based on surveys conducted before and after the Nov. 2 election -- rose to a reading of 95.5 from 91.7 in October and 94.2 in September. In addition to the drop of oil prices below $50 a barrel and the resolution of a bitterly fought presidential campaign, the government reported recently that hiring in October was stronger than expected, all factors that should underpin confidence.</br></br>""Consumers will remain spending-minded,"" said Richard Curtin, the Michigan economist who oversees the confidence survey. He said the recent decline in oil prices was probably the key factor behind the improvement.</br></br>Households were spending-minded in October, though their pattern of spending showed signs of changing from the month before. The U.S. Commerce Department said retail sales in October rose 0.2% from September on a seasonally adjusted basis, after a 1.6% jump the month before. The back-to-back gains put household consumption on solid footing going into the holiday season.</br></br>One retailer that enjoyed steady gains in spending was Men's Wearhouse Inc., a Houston seller of men's suits with an average price of about $280. The retailer reported a hearty 8.9% increase in domestic same-store sales last month from a year earlier. ""Our business is kind of to the masses, to the middle-market kind of guy. I think he's doing fine,"" said Neill Davis, chief financial officer."
Negative,"REMEMBER THE BEST-SELLING book, ""Dow 36,000: The New Strategy for Profiting From the Coming Rise in the Stock Market""?</br></br>With stocks plunging, and many giddy investors who swore by the book now burning it, the authors must be sheepishly admitting how foolish and wrong they were, right?</br></br>Well, no.</br></br>Even though the Dow Jones Industrial Average has fallen 24% below where it was when ""Dow 36,000"" was published in September 1999, the two authors -- financial writer James K. Glassman and economist Kevin A. Hassett -- insist the stock market will prove them right. Someday. They're just not saying when.</br></br>""Oh, yeah, definitely. I'm just not going to give you a date,"" responds an unapologetic Mr. Glassman, when asked whether Dow 36000 is still on the horizon, even though it topped out, on a closing basis, at 11722.98 on Jan. 14, 2000."
Positive,"Stock prices sprinted ahead yesterday, reacting to a strong bond market and growing, though cautious, optimism about the direction of the economy.</br></br>Uncertainty about today's congressional elections caused some jitters among investors, but not enough to damp the enthusiasm generated by the bond market, traders said.</br></br>The Dow Jones Industrial Average ended the session at 1894.26, up 16.45 points, and the broader stock market indexes also posted gains. The New York Stock Exchange composite index rose 0.95 to 141.37, and Standard & Poor's 500-stock index gained 1.82 to 245.80.</br></br>The industrial average was boosted by spurts in International Business Machines, General Motors, Exxon and Eastman Kodak. Big Board trading was moderately active, with 138.2 million shares changing hands. Advancing issues outpaced decliners by a better than 3-to-2 margin.</br></br>""Although it's not overwhelming, we have a semblance"" of quicker economic growth, said Larry Wachtell, market strategist with Prudential-Bache Securities. ""Given the uncertainties of this week, the refunding and the elections, this was a pretty good performance."""
Positive,"NEW YORK -- The economy continues to edge higher, and the consensus forecast is that the gains will continue, at least through 1988. The stock market, which moved upward last year mainly because of lower interest rates, now seems to be focusing mainly on an expectation of better corporate earnings. Meanwhile, the dollar is showing new weakness, the budget deficit isn't sinking very much, and a revival of inflation begins to look like a realistic possibility.</br></br>That's more or less the situation the Federal Open Market Committee will confront next month as it meets to plan monetary policy for 1987. What will the committee decide to do?</br></br>It may not matter very much. Last February the FOMC decided that M1, the narrowly defined money supply, should grow at a rate between 3% and 8% in 1987. In July the committee reaffirmed that range but also said that growth in excess of 3% to 8% would be ""acceptable."" It's a good thing the committee left itself some leeway, since the actual growth rate was about 17%.</br></br>But the committee, whose voting members are the Federal Reserve governors and five of the regional Reserve Bank presidents, is required by law to say something. Composing the statement will be a little more difficult than usual this time, since the Fed seems to have gotten itself into a box.</br></br>Through last year the Federal Reserve was under pressure from the Reagan administration to force interest rates lower, depreciate the dollar and stimulate economic growth. Chairman Paul Volcker made occasional noises to the effect that a falling dollar could be inflationary, but by and large the Fed went along. After all, the consumer price index last year rose at an annual rate of 1.1%, so why worry about inflation?"
Positive,"WASHINGTON -- The Conference Board's index of leading indicators moved up slightly in March, signaling that U.S. economic expansion probably will continue vigorously through 1998.</br></br>Michael D. Boldin, director of business-cycle research at the New York business-research organization, said the economic omens point to continued strong growth in gross domestic product in the months ahead.</br></br>""It looks like above 3% is not impossible for the whole year,"" Mr. Boldin said. Last week, the government reported that the economy expanded in the first quarter at an annualized rate of 4.2%, but few economists believe that pace is sustainable through the rest of the year. The leading-indicators index, considered a reasonable predictor of turning points in the economy, measured 105.2, up from 105 in February.</br></br>The March increase came largely from two of the 10 components that make up the index: stock prices and money supply. Both of those measures reflect the strength of financial markets and are considered fairly reliable indicators of the strength of future economic growth, not just of whether the economy will stay out of recession.</br></br>Other increases were seen in orders to manufacturers for consumer goods and a measure of suppliers' delivery times. Declines were seen in big-ticket orders to manufacturers, excluding defense contracts."
Positive,"NEW YORK--As investors assessed the damage from Hurricane Sandy, stock futures indicated a slight rise from where stocks traded Friday after a positive reading on U.S. housing data and encouraging economic news in Europe.</br></br>Stock markets are closed for a second day Tuesday, and the bond markets are also closed, in the aftermath of Hurricane Sandy. Trading in stock futures ended at 9:15 a.m. EDT, as scheduled.</br></br>Millions in the eastern U.S. were left without power, with a Consolidated Edison official saying it could take up to a week to restore power to the bulk of Manhattan. Estimates for the financial impact of the storm are running into the billions of dollars.</br></br>At the close of morning futures trading, Dow Jones Industrial Average futures had gained eight points from Friday's level, or 0.1%, to 13062. Dow futures had been down as much as 1% in overnight trading.</br></br>Futures on the Standard & Poor's 500-stock index rose about 3.5 points, or 0.3%, to 1411.10. Nasdaq 100 futures lost 3.75 points, or 0.1%, to 2655.25."
Negative,"The U.S. dollar declined against major foreign currencies yesterday because of lower U.S. interest rates, which make dollar-denominated investments less attractive, and a larger-than-expected decline of 0.9% in U.S. July retail sales.</br></br>The foreign-exchange market had expected July retail sales to advance by about 0.3%, said Gil Leiendecker Jr., a vice president and manager of the foreign-exchange department of Salomon Brothers Inc., New York. The drop indicated the U.S. economy is slowing faster than expected.</br></br>Gold rose $4.20 an ounce in response to the decline of the dollar and U.S. interest rates, which make gold purchases easier to finance.</br></br>Jordan Black, an assistant treasurer of Chase Manhattan Bank, New York, said the feeling that U.S. interest rates might continue to ease also hurt the dollar. ""But people are hesitant to sell too many dollars,"" he added, ""in the belief that the Federal Reserve may have to tighten credit conditions in the period just after the U.S. election."" Any tightening could lead to higher U.S. interest rates.</br></br>Peter Rogers, an assistant vice president and assistant chief foreign-exchange dealer of Manufacturers Hanover Trust Co., New York, said that ""if we don't see a strong rise in the U.S. industrial production number (to be released today), there could be a substantial correction in the dollar."" The market curently expects U.S. July industrial production to climb by about 0.7%. ""My feeling,"" he said, ""is that short-term sentiment about the strength of the dollar has changed."""
Negative,"Easy Money Tugs Two Ways at Trade Gap</br></br>The trade deficit is a case study in the unintended consequences of easy money.</br></br>The Commerce Department releases April trade data Wednesday morning. Economists think the deficit widened a bit, to $29 billion, from $27.6 billion in March. That would end an eight-month streak of narrower deficits that has cut the gap roughly in half, thanks first to a surge in exports and then to tumbling oil prices.</br></br>A narrower trade deficit is potentially good economic news on several fronts. For one, from an accounting perspective, exports add to gross domestic product, while imports subtract from it. From a fundamental standpoint, it is often healthier for a country to export more than it imports -- though collapsing imports can also signal weak demand at home, as they have in this recession.</br></br>Here's where the unintended consequences of fighting that recession come in: The money being pumped into the economy by the Federal Reserve has made some investors anxious about inflation, sometimes defined as the result of too much money chasing too few goods."
