Sentiment,Headline
1,Net sales rose by yearonyear to EUR as the number of chargers delivered went up by to million pieces
1,Net sales totaled EUR up from EUR in the corresponding period in
1,Nokia also noted the average selling price of handsets declined during the period though its mobile phone profit margin rose to more than NUMERIC percent from NUMERIC percent in the yearago quarter
1,Operating profit increased by to EUR from EUR 
1,Operating profit margin increased from to
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR in the fourth quarter of
1,Operating profit was EUR up from EUR 
1,Ramirent is net sales in the second quarterended June NUMERIC were EURO million about US NUMERIC million a percent increase compared with EURO million for thesecond quarter last year
1,Revenue grew by NUMERIC percent to xac NUMERIC million NUMERIC million from xac NUMERIC million
1,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply NUMERIC suction anchors in September NUMERIC from its Kalajoki unit in Finland
1,Ruukki is delivery volumes and selling prices showed favourable development and the company is comparable net sales grew by yearonyear to EURm CEO Sakari Tamminen said
1,Sanoma Magazines net sales are estimated to grow in
1,The bank forecasts Finland is GDP will grow by in NUMERIC and in
1,The circuit is overall production rate on a weekly basis is now in excess of an average of tonnes per day with volumes in excess of tonnes per day being reached on individual days
1,The company is consolidated operating profit amounted to EUR up from EUR yearonyear
1,The Department Store Division reported an increase in sales of NUMERIC per cent
1,The fair value of the company is investment properties grew to EUR billion at the end of March NUMERIC from EUR million a year ago
1,The last quarter was the best quarter of NUMERIC in net sales and the operating margin rose to
1,The major breweries increased their domestic beer sales by per cent last year to million litres from million litres in
1,The transaction doubles Tecnomens workforse and adds a fourth to their net sales
1,Operating profit rose by to EUR million
1,After this purchase Cramo will become the second largest rental services provider in the Latvian market
1,The priority for NUMERIC was to strengthen the company is balance sheet and increase cash flow CEO Hannu Krook said
1,The purchase of the operations is part of YIT is strategy to expand its offering of building system services geographically
1,NUMERIC October NUMERIC Finnish fishing tackle company Rapala VMC Corp said today its net profit rose to EUR for the first nine months of NUMERIC from EUR for the same period a year earlier
1,According to Finnish Metso Minerals the value of the company is orders has gone up to EUR bn in NUMERIC months
1,Finnish Aldata Solution has signed a contract of supply its GOLD system to two French retail chains
1,Finnish Bank of land reports its operating profit rose to EUR in the second quarter of NUMERIC from EUR in the corresponding period in
1,Finnish financial group Aktia is operating profit for NUMERIC increased to EUR from EUR in
1,Finnish forest machinery manufacturer Ponsse is net sales grew to EUR in the first quarter of NUMERIC from EUR in the corresponding period in
1,Finnish KCI Konecranes has raised its net sales growth estimate for NUMERIC from over to over
1,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing
1,Finnish pharmaceuticals company Orion is net sales rose to EUR in the first quarter of NUMERIC from EUR in the first quarter of
1,Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines harvester heads and information systems in South Africa
1,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish Mreal Corporation is Graphic Papers Business unit
1,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years
1,According to HKScan Finland the plan is to increase Suomen Portti is net sales to EUR to EUR 
1,Advertising and circulation revenues grew by and by respectively
1,After the takeover Cramo will become the second largest rental services provider in the Latvian market
1,Again the most significant sales increase of was in Russia
1,Alma Media expects its net sales to increase as forecast previously
1,Also Lemminkinen is profit for accounting period went up to EUR from EUR a year ago
1,At the end of March the group is order book was at EUR up from the corresponding period in
1,At the same time profit of the company increased by in and reached Ls
1,Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment Paavel said
1,Both operating profit and net sales for the month period increased respectively from EUR and EUR as compared to the financial year
1,Both operating profit and net sales for the month period increased respectively from EUR and EUR as compared to the financial year
1,Both operating profit and net sales for the month period increased respectively from EUR and EUR as compared to
1,Both operating profit and net sales for the month period increased respectively from EUR and EUR as compared to
1,Both operating profit and net sales for the ninemonth period increased respectively by and as compared to the corresponding period in
1,Both operating profit and net sales for the sixmonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and net sales for the sixmonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and net sales for the sixmonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and net sales for the sixmonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and net sales for the threemonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and net sales for the threemonth period increased respectively from EUR and EURm as compared to the corresponding quarter in
1,Both operating profit and sales for the threemonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and turnover for the ninemonth period increased respectively from EUR and EUR as compared to the corresponding period a year ago
1,Both operating profit and turnover for the sixmonth period increased respectively from EUR and EUR as compared to the corresponding period in
1,Both operating profit and turnover for the sixmonth period increased respectively from EUR and EUR as compared to the corresponding period a year ago
1,Cargo volume grew by
1,Cargo volume increased by approximately
1,comparable operating profit totaled EUR up from EUR in
1,Digia said its consolidated net sales for JanuaryJune NUMERIC were EUR up on the same period in NUMERIC
1,Diluted earnings per share rose to EUR from EUR
1,Diluted earnings per share rose to EUR versus EUR
1,Diluted earnings per share rose to EUR from EUR
1,Diluted earnings per share rose to EUR from EUR
1,Diluted EPS rose to EUR NUMERIC from EUR
1,EBIT margin was up from to
1,EPS for the quarter was EUR as compared with EUR NUMERIC in the third quarter of representing a Group net sales for the third quarter were EUR up by as compared with EUR in the third quarter of
1,EPS from continuing operations came in at eur up from
1,Equity ratio was compared to In the third quarter of net sales of the Frozen Foods Business totaled EUR up by about from the third quarter of
1,EUR in NUMERIC NUMERIC May NUMERIC Finnish textile and clothing design company Marimekko Oyj said today its net profit rose to EUR in the first quarter of NUMERIC from EUR in the corresponding period a year earlier
1,Finlandbased Elcoteq SE a privately held provider of electronics manufacturing services to communications companies said Thursday it signed a longterm manufacturing supply deal with communications equipment company Andrew Corp
1,Finnish cutlery and hand tools maker Fiskars Oyj Abp said today its net profit rose to EUR million in the third quarter of NUMERIC from EUR million a year earlier
1,Finnish department store chain Stockmann Oyj Abp net profit rose to mln euro for the first nine months of NUMERIC from mln euro for the same period of
1,Finnish lifting equipment maker Konecranes Oyj said on July NUMERIC that its net profit rose to mln euro for the first half of NUMERIC from mln euro for the same period of
1,Finnish messaging solutions developer Tecnomen Corporation said on Thursday that it has received an expansion order for its Convergent Charging solution in Latin America
1,Finnish metal industry solutions supplier Outotec Oyj net profit rose to mln euro for the first nine months of NUMERIC from mln euro for the same period of
1,Finnish metal products company Componenta Oyj net profit rose to mln euro for the first quarter of NUMERIC from mln euro for the same period of
1,Finnish office supplies and computer accessories dealer BelttonGroup Plc said its net profit rose to mln euro in NUMERIC from mln euro in
1,Finnish security and privacy software solutions developer Stonesoft Oyj said on January NUMERIC that the preliminary sales of its StoneGate products grew by NUMERIC pct yearonyear to mln euro for the fourth quarter of
1,Finnish silicon wafer technology company Okmetic Oyj reported on Thursday an operating profit of EUR for the period JanuaryJune up from EUR in the corresponding period in
1,Finnish software developer Done Solutions Oyj said its net profit increased to mln euro in NUMERIC from mln euro in
1,First quarter underlying operating profit rose to NUMERIC mln eur from NUMERIC mln a year earlier
1,Following the acquisition Relacom will strengthen its presence in Finland serving operators and office market with mobile and fixed networks construction installation and maintenance services
1,For the first nine months of the company is net profit rose to EURm from EURm for the corresponding period of
1,HELSINKI Retail and wholesale group Kesko reported net sales of mln eur for February an increase of pct yearonyear
1,However net sales in NUMERIC are seen to have grown to EUR from EUR in
1,However sales returned to growth in AprilJune CEO Pekka Eloholma said
1,Ragutis which is controlled by the Finnish brewery reported a percent rise in beer sales to million litres and held an percent market share
1,SvyturysUtenos Alus which is controlled by the Nordic group Baltic Beverages Holding posted a percent growth in beer sales for JanuaryMay to million litres
1,In addition Kone signed a twoyear maintenance contract for the escalators
1,In December alone the members of the Lithuanian Brewers Association sold a total of million liters of beer an increase of percent from the sales of million liters in December
1,In JanuarySeptember the Group is net interest income increased to EUR from EUR in JanuarySeptember
1,In of Bank of land is net interest income increased from EUR to EUR 
1,In Sweden operating profit for the period under review totaled EUR up from the corresponding period in
1,In the fourth quarter of Orion is net profit went up by yearonyear to EURm
1,In the second quarter of the group is net profit rose to EUR million from EUR million in AprilJune
1,In the second quarter of the group is net profit rose to EUR from EUR in AprilJune
1,In the third quarter net sales increased by yearonyear to EUR million or by at comparable currency rates growth
1,In the third quarter net sales increased by yearonyear to EUR or by at comparable currency rates growth
1,Its market share widened to percent from percent a year earlier
1,Kesko Agro Eesti the retailer and wholesaler of grain agricultural and warehousing machinery and accessories had net sales of NUMERIC million euros in an increase by onetenth over the preceding year
1,Kesko is car import and retailing business VVAuto saw sales grow by pct
1,Kone is net sales rose by some yearonyear in the first nine months of
1,Feb NUMERIC Finnish management software solutions provider Ixonos Oyj said today its net profit rose to EUR million for NUMERIC from EUR million for
1,Feb NUMERIC Finnish IT solutions provider Affecto Oyj said today its net profit rose to EUR million in NUMERIC from EUR NUMERIC million in
1,Feb NUMERIC Finnish fishing tackle company Rapala VMC Corp said today its net profit rose to EUR million for NUMERIC from EUR million for
1,Nov NUMERIC Finnish electronic measurement products and solutions maker Vaisala Oyj said today that its net profit rose to EUR NUMERIC million for the first nine months of NUMERIC from EUR NUMERIC
1,Oct NUMERIC Finnish lifting equipment maker Konecranes Oyj said today that its net profit rose to EUR million in the first nine months of NUMERIC from EUR million for the
1,Metso expects its net sales to increase by about in at comparable exchange rates
1,Neste Oil Corp has signed longterm procurement contracts with Honkajoki Oy and Findest Protein Oy both owned by Finnish food manufacturers for the supply of animal fat for biodiesel production at Neste is bcd Porvoo Finland refinery
1,Net interest income increased by to EUR from EUR in
1,Net interest income was EUR up from EUR in
1,Net interest income was EUR up from EUR 
1,Net sales of the Vegetable Oil Business rose to EUR from EUR 
1,Nokia Multimedia is net sales totaled EUR bn up from the corresponding period in
1,Operating income rose to EUR from EUR in
1,Operating profit of Kauppalehti group rose to EUR from EUR and that of Marketplaces to EUR from EUR in the third quarter of
1,Operating profit rose from EUR to EUR 
1,Operating profit rose to mln eur from mln
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR in
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR 
1,Operating profit rose to EUR from EUR 
1,Operating profit rose to EUR from EUR in the corresponding period in
1,Operating profit rose to EUR from EUR year earlier
1,Operating profit surged to EURm from EUR
1,Operating profit totaled EUR up slightly from EUR in the corresponding period in
1,Operating profit totaled EUR up from EUR 
1,Operating profit was EUR up from EUR 
1,Operating profit was EUR up from EUR 
1,Order intake grew by yearonyear and yearonyear respectively to EUR NUMERIC million and EUR billion for the respective JanuarySeptember and JulySeptember NUMERIC periods
1,Orders received grew by yearonyear to EURm
1,Orion Pharma is operating profit increased by from
1,Passenger volumes rose by in the accounting period
1,Passengerrelated revenue rose by to EUR from EUR in
1,Press release NUMERIC October NUMERIC Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna Finland
1,Pretax profit rose to EUR from EUR in the corresponding period in
1,Pretax profit rose to EUR from EUR in the corresponding period in
1,Pretax profit rose to EUR from EUR in
1,Pretax profit totaled EUR up from EUR 
1,Previously the company had guided for EBIT and sales growth of NUMERIC pct and NUMERIC pct respectively for this year
1,Previously the company has estimated its operating profit to reach the level of NUMERIC only
1,Profit for the period totaled EUR up from EUR in the corresponding period in
1,Profit for the period was EUR up from EUR 
1,Profit for the period was EUR up from EUR in
1,Revenue grew NUMERIC percent to billion
1,Revenue in July to September grew NUMERIC percent to NUMERIC million from a year earlier the company said Thursday
1,Revenues at the same time grew NUMERIC percent to NUMERIC million euros
1,Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna Finland
1,Sales in Latin America increased by to EUR and a total of mobile devices were sold in the area representing an increase of from the corresponding period in
1,Sales of clothing developed best
1,Sanoma Magazines Finland is net sales grew to EUR from EUR 
1,Satama is net profit for the third quarter of NUMERIC rose to euro from euro for the same period of
1,Section Regional News The demand in Finnair is Asian traffic measured in passenger kilometers was up in August compare to last year
1,SvyturysUtenos Alus which is controlled by the Nordic group Baltic Beverages Holding posted a percent growth in beer sales for JanuarySeptember to million liters
1,That would be an increase from estimated sales of NUMERIC million last year
1,The agreement expands Tekla Structures scope of use to bridge design
1,The aim is to increase sales by at least one fifth in
1,The chain posted sales of NUMERIC million euros for full a rise of percent yearonyear
1,The company expects its net sales in NUMERIC to increase from
1,The company expects its net sales in the first half of NUMERIC to reach the previous year is level
1,The company is in the process of building a new fleet and has placed orders for NUMERIC PMax tankers of dwt
1,The company is operating income totalled EUR up from EUR yearonyear
1,The EPS outlook was increased by pct for NUMERIC and pct for
1,The fair value of the investment properties totaled EUR up from EUR in
1,The Finnish government announced Wednesday that it sold a NUMERIC percent stake in chemicals and fertilizer group Kemira Oyj for million sending the company is share price up NUMERIC percent
1,The German company has also signed a code share agreement with another Oneworld member American Airlines Inc part of USbased AMR Corp
1,The Helsinkibased company which also owns the Salomon Atomic and Suunto brands said net profit rose NUMERIC percent in the three months through Dec NUMERIC to NUMERIC million from million a year earlier
1,The increase in capital stock has been registered in the Finnish Trade Register on NUMERIC November
1,The operating profit for Grain Trading increased to EUR from EUR in
1,The stock rose for a second day on Wednesday bringing its twoday rise to GBX NUMERIC or
1,The stock rose for a third day on Tuesday bringing its threeday rise to GBX NUMERIC or
1,The transaction is in line with Aspo is strategy to expand in the Baltic Sea region and in the eastern markets
1,The transactions would increase earnings per share in the first quarter by some EUR
1,There has been some recovery of the base metals prices and increased demand for metals in China however
1,This new representation extends Comptel is global presence to a total of NUMERIC countries serving over NUMERIC customers in over NUMERIC countries worldwide
1,TietoEnator itself uses Nokia is Intellisync Mobile Suite is wireless email calendar and device management capabilities and the company will now extend these services to its customers
1,Total operating revenue grew by yearonyear to EURm
1,Vacon is cash flow from operations grew to EUR from EUR a year ago
1,We also strengthen our existing partnership with Cybercom says Teleste CTO Esko Myllyla
1,Via the Satlan acquisition Teleste plans to further expand its market presence as a video services partner for cable operators broadcasters and IPTV service providers
1,With the acquisition the company will expand its offering to North Central and South America it said
1,With the extension of the new contract for a further eight engines the plant will now produce over NUMERIC MW it said
1,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets
1,BasWare is product sales grew strongly in the financial period by NUMERIC percent
1,The second quarter of NUMERIC was the firstquarter with growth in net sales since the third quarter of said Magnus Rosen Ramirent CEO
1,The transaction strengthens our position in design and branded goods said Fiskars president and CEO Heikki Allonen pointing out that the two groups have relatively few overlapping operations
1,NUMERIC February NUMERIC Finnish textile and clothing company Marimekko Oyj HEL MMOV said today its preliminary operating profit grew to EUR in NUMERIC from EUR in
1,Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo in Finland
1,Affecto expects its net sales for the whole NUMERIC to increase from the NUMERIC level when they reached EUR NUMERIC million
1,Cash flow from operations rose to EUR from EUR in
1,Commission income rose by to EUR from EUR in
1,Componenta is objective with this agreement is to increase business on its existing production lines
1,Earnings per share for JanuaryJune NUMERIC were EUR an increase of yearonyear EUR
1,Earnings per share EPS rose to EUR from EUR
1,Elisa said mobile subscriptions grew NUMERIC percent during mainly because of customers adopting socalled third generation mobile technology
1,EPS for the quarter came in at eur up from eur a year ago and ahead of forecast of eur
1,EPS grew to eur from eur
1,Exports grew percent to million liters
1,Finnish investment group Panostaja Oyj said its net profit went up to mln euro mln in fiscal ended October from mln euro mln in the same period of fiscal
1,Finnish metal components supplier Componenta Oyj said its net profit went up to mln euro mln in NUMERIC from mln euro mln in
1,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki OKMV reported on Thursday NUMERIC October an operating profit of EUR for JanuarySeptember up from EUR in the corresponding period in
1,Fiskars Brands report net sales of EUR up from EUR 
1,GeoSentric Oyj GeoSolutions Business Unit GyPSii the mobile digital lifestyle application and geomobility social networking platform has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile
1,HELSINKI AFX Outokumpu Technology said it has signed a mln eur agreement with Mongolia is Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site
1,However the proportion of the paid standing orders grew in
1,In addition to the demand in Finland the export of lining stone products also increased
1,In JanuarySeptember the group is net sales from continuing operations rose to EUR from EUR in the corresponding period in
1,In JulySeptember YIT is net sales increased to EUR compared to EUR in the corresponding period in
1,In the reporting period net sales rose by yearonyear to EUR due to the business acquisitions realized during the first half of the effect of which was EUR in the review period
1,In the reporting period the company is operating profit grew by to EUR NUMERIC million
1,Last year is net sales rose to EUR million from EUR million
1,Last year the company raised its turnover to approximately NUMERIC million litas EUR NUMERIC mln from million litas in
1,ADP News Nov NUMERIC Finnish AC drives manufacturer Vacon Oyj OMX VACV said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe
1,Marimekko Group is fullyear net sales are estimated to increase by about
1,Net sales surged by to EUR NUMERIC million
1,Net sales went up by yearonyear to EUR NUMERIC million affected by the business acquisitions realized during the previous financial period the effect of which was EUR million on the review period
1,Nevertheless its market share rose to percent from percent a year earlier
1,Nokia the world is largest mobile phone manufacturer and China Postel China is largest mobile phone distributor have a longstanding partnership that continues to grow stronger over time
1,OctoberDecember sales were NUMERIC mln eur or a pct increase year on year
1,Olvi which controls a NUMERIC percent stake in Ragutis through Le Coq said in its annual report published earlier this year that the Lithuanian brewery is sales reached million euros last year a rise of percent from million euros in
1,Olvi expects sales and market share to increase in the first quarter of
1,Operating profit increased to EUR from EUR in the corresponding period in
1,Operating profit of the Asian plants grew markedly
1,Operating profit totaled EUR up from EUR in
1,Operating profit totalled EUR up from EUR yearonyear
1,Production capacity will increase from NUMERIC NUMERIC to NUMERIC NUMERIC tonnes per year and the raw material will continue to be recycled paper and board
1,Profit for the period increased from EUR to EUR 
1,Profit per share was EUR up from EUR
1,Return on capital employed rose by percentage points to
1,Revenue from July to September grew NUMERIC percent to EURO billion the Finnish company said Thursday
1,Revenue grew NUMERIC percent to euro NUMERIC million US NUMERIC million from euro million
1,Ruukki is order book at the end of NUMERIC was up yearonyear and up quarteronquarter
1,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS
1,Sales in Finland rose by and international growth was
1,Sales of security and system packaging increased slightly
1,Stora Enso is thirdquarter pretax profit doubled to EUR 
